yyyymm,EQPREM,DP,DY,EP,SVAR,BM,NTIS,TBL,LTR,TMS,DFY,DFR,INFL
192612,-0.005710329584027171,-2.9730123516104965,-2.9565695297349484,-2.386837290602719,0.0004646178,0.441475827,0.0508761773,0.0307,0.0078,0.004699999999999999,0.010000000000000002,-0.0021999999999999997,0.0
192701,0.042019402029939305,-2.9423744954802977,-2.9633490471657282,-2.3747732879503363,0.0004698947,0.4437056454,0.0508237847,0.0323,0.0075,0.002799999999999997,0.009499999999999995,-0.0018999999999999998,-0.011299435
192702,0.004700683905087544,-2.979534685857688,-2.9329458542023983,-2.4303527809018184,0.0002873343,0.4285008644,0.0516676427,0.0329,0.0088,0.001800000000000003,0.0092,-0.0019000000000000006,-0.0057142857
192703,0.009941446575329076,-2.9765350967384903,-2.9700532591362996,-2.445078688279091,0.0009241928,0.4697651174,0.046356576,0.032,0.0253,0.0010999999999999968,0.0092,-0.017,-0.0057471264
192704,0.0579893791050203,-2.9842249896848525,-2.9671427237739776,-2.471308627126753,0.0006025886,0.4567541302,0.0505140243,0.0339,-0.0005,-0.0005999999999999964,0.009000000000000001,0.006,0.0
192705,-0.023575838608056877,-3.0259633339035488,-2.975058258829491,-2.5314458282011136,0.0003917338,0.4347826087,0.0552753898,0.0333,0.0109,-0.0006000000000000033,0.009300000000000003,-0.012,0.0057803468
192706,0.07847632017921315,-3.0073088413829887,-3.0167428736163475,-2.531329948947166,0.000824577,0.4523852494,0.0588219162,0.0307,-0.0069,0.0026999999999999975,0.0097,0.0112,0.0114942529
192707,0.02978141053413873,-3.0611442423635555,-2.9981726218366576,-2.6037073677609404,0.0004257798,0.414553473,0.0597499253,0.0296,0.005,0.003700000000000002,0.009500000000000001,-0.0047,-0.0170454545
192708,0.04886234041626055,-3.0957644793000663,-3.0522252643210757,-2.6567416907622547,0.0012764139,0.3962274092,0.0545217717,0.027,0.0076,0.005899999999999999,0.0092,0.0007000000000000001,-0.0057803468
192709,-0.05003252823960459,-3.129096985621415,-3.0867910045009577,-2.70775852835696,0.0011233495,0.380586062,0.0946129771,0.0268,0.0018,0.006200000000000001,0.008799999999999995,0.0131,0.0058139535
192710,0.0656719185003025,-3.065649786808161,-3.1202033184512947,-2.662875401745509,0.0015593375,0.4138006933,0.0943667354,0.0308,0.0099,0.0017000000000000001,0.0087,-0.004400000000000001,0.0057803468
